play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
537,2017090700,NE,KC,NE,home,KC,KC,20,2017-09-07,593,1493,3293,Half1,0,3,0,1,3,0,09:53:00,KC 20,11,17,"(9:53) (Shotgun) T.Brady pass deep middle to R.Gronkowski for 20 yards, TOUCHDOWN. Penalty on KC-D.Ford, Defensive Offside, declined. The Replay Official reviewed the pass completion ruling, and the play was REVERSED. (Shotgun) T.Brady pass incomplete deep middle to R.Gronkowski. PENALTY on KC-D.Ford, Defensive Offside, 5 yards, enforced at KC 20 - No Play.",no_play,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,7,0,7,0,7,7,0,7,0.0013284503006464278,0.04815638191420885,1.3566199180322207e-4,0.07916861550989411,0.5456602905500356,0.004028496605794781,0.3215221031276168,0,0,3.196771808459522,0.35522128908636086,10.671422291733721,-10.671422291733721,7.759949786928768,-7.759949786928768,0.6230442063278541,-0.6230442063278541,NA,NA,0,0,0.897495326517179,-0.897495326517179,1.8173014635321398,-1.8173014635321398,5.762488307296922,-5.762488307296922,-5.139444100969069,5.139444100969069,0.8085567847021013,0.19144321529789865,0.8085567847021013,0.19144321529789865,0.008150375242420793,0.8167071599445221,0.18329284005547786,0.20484416214047618,-0.20484416214047618,0.04107638739685515,-0.04107638739685515,NA,NA,0,0,0.0413295747840135,-0.0413295747840135,0.05502568040962419,-0.05502568040962419,0.17266226212424624,-0.17266226212424624,-0.13158587472739108,0.13158587472739108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,KC,00-0031297,D.Ford,5,1,reversed,Defensive Offside,0,0,0,0
2051,2017091000,BUF,NYJ,BUF,home,NYJ,BUF,52,2017-09-10,42,42,1842,Half1,0,9,0,2,3,0,00:42:00,BUF 48,16,23,"(:42) T.Taylor pass short right to C.Clay to NYJ 46 for 6 yards (Ja.Adams). FUMBLES (Ja.Adams), ball out of bounds at NYJ 46. Caught at 50, crossing from middle. The Replay Official reviewed the pass completion ruling, and the play was REVERSED. T.Taylor pass incomplete short right to C.Clay (Ja.Adams). Receiver and coverage at 50, crossing from middle. Receiver never maintained control of ball.",pass,0,0,0,1,0,0,0,short,right,2,NA,NA,NA,NA,NA,NA,NA,2,3,0,NA,NA,2,3,7,6,7,6,1,7,6,1,0.5969965894023249,0.0468877009548256,9.820697014574454e-4,0.03498386066494094,0.207920629636932,8.506703521965999e-4,0.11137847928732263,0,0,1.0175983177044694,-0.5127955213163222,0.013806913842039581,-0.013806913842039581,3.4149525208867106,-3.4149525208867106,9.722318258305624,-9.722318258305624,-0.44261239752783543,-0.07018312378848679,0,0,4.969593101568269,-4.969593101568269,6.557422268363221,-6.557422268363221,4.825633228469347,-4.825633228469347,4.099680016341915,-4.099680016341915,0.5678595343488372,0.4321404656511628,0.5678595343488372,0.4321404656511628,-0.016355231901162615,0.5515043024476746,0.44849569755232543,0.12482826313022144,-0.12482826313022144,0.29149353455711075,-0.29149353455711075,-0.014118847829334036,-0.002236384071828579,0,0,0.14530212931512315,-0.14530212931512315,0.19435774948590612,-0.19435774948590612,0.1369554922059758,-0.1369554922059758,0.12349183597103647,-0.12349183597103647,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0028118,T.Taylor,00-0028112,C.Clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0033872,Ja.Adams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,reversed,NA,0,0,0,0
2940,2017091000,BUF,NYJ,NYJ,away,BUF,BUF,9,2017-09-10,155,1055,1055,Half2,0,15,0,3,1,1,02:35:00,BUF 9,9,74,"(2:35) (Shotgun) J.McCown pass short right to A.Stewart for 9 yards, TOUCHDOWN. Caught along sideline at BUF 2. The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. (Shotgun) J.McCown pass short right to A.Stewart pushed ob at BUF 1 for 8 yards (L.Johnson). Caught along sideline at BUF 2.",pass,8,1,0,1,0,0,0,short,right,7,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,14,6,6,14,-8,6,14,-8,0.0029261606478712715,0.012822507457272809,6.277754832232052e-6,0.014658298041019794,0.3556285776458954,0.0015009543524577265,0.6124572241006507,0,0,5.216000046178535,0.9348079701346697,1.3804201074299733,-1.3804201074299733,5.211958689789675,-5.211958689789675,9.597929802131857,-9.597929802131857,-0.3324441075988167,1.2672520777334864,-0.3324441075988167,1.2672520777334864,1.9925271951163717,-1.9925271951163717,7.502772107759853,-7.502772107759853,6.5917055542064595,-6.5917055542064595,2.2092192344310364,-2.2092192344310364,0.3791799360060381,0.6208200639939618,0.6208200639939618,0.3791799360060381,0.03271782859135092,0.5881022354026109,0.411897764597389,0.19710012626865073,-0.19710012626865073,0.29351526502041714,-0.29351526502041714,-0.012125459943696237,0.044843288535047154,-0.012125459943696237,0.044843288535047154,0.04663990688232028,-0.04663990688232028,0.23709381622821957,-0.23709381622821957,0.20845278041141985,-0.20845278041141985,0.05401627822889882,-0.05401627822889882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0021206,J.McCown,00-0033916,A.Stewart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,00-0029087,NA,L.Johnson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,reversed,NA,0,0,0,0
3765,2017091000,BUF,NYJ,NYJ,away,BUF,BUF,37,2017-09-10,404,404,404,Half2,0,19,0,4,3,0,06:44:00,BUF 37,8,2,"(6:44) (Shotgun) J.McCown pass short right intended for R.Anderson INTERCEPTED by J.Poyer [J.Hughes] at BUF 23. J.Poyer to BUF 23 for no gain (R.Anderson). Receiver and coverage along sideline at BUF 23. The Replay Official reviewed the pass interception ruling, and the play was Upheld. The ruling on the field stands.",pass,0,1,0,1,0,0,0,short,right,14,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,21,12,12,21,-9,12,21,-9,0.1479281174634878,0.06812970836353195,3.881469794786789e-4,0.10456873717855399,0.36475503087537114,0.003543576928563675,0.31068668221101275,0,0,2.3390124426608994,-3.078906034098255,9.303530921067779,-9.303530921067779,2.111298423921438,-2.111298423921438,22.59115923708983,-22.59115923708983,1.8254661216912638,-4.904372155789519,0,0,7.1869237452077535,-7.1869237452077535,9.227999362915321,-9.227999362915321,6.227258074441847,-6.227258074441847,14.619896149153622,-14.619896149153622,0.19812996770075073,0.8018700322992492,0.8018700322992492,0.19812996770075073,-0.07384043311457808,0.8757104654138274,0.12428953458617265,0.12646507042586366,-0.12646507042586366,0.7152052342187875,-0.7152052342187875,0.07007506472224598,-0.14391549783682406,0,0,0.22440799775787648,-0.22440799775787648,0.32878551883727075,-0.32878551883727075,0.18519086189257375,-0.18519086189257375,0.47887755805580656,-0.47887755805580656,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0021206,J.McCown,00-0032688,R.Anderson,NA,NA,NA,NA,NA,NA,NA,NA,00-0030114,J.Poyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0027881,J.Hughes,NA,NA,NA,NA,NA,NA,NA,NA,NYJ,NA,00-0032688,NA,R.Anderson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0030114,J.Poyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,0,NA,NA,NA,NA,1,upheld,NA,0,0,0,0
1979,2017091008,WAS,PHI,PHI,away,WAS,WAS,49,2017-09-10,22,22,1822,Half1,0,12,0,2,1,0,00:22:00,WAS 49,10,43,"(:22) (No Huddle, Shotgun) C.Wentz pass short middle to D.Sproles to WAS 41 for 8 yards (M.Foster). The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands.",pass,8,1,1,1,0,0,0,short,middle,4,4,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,1,1,13,13,13,13,0,13,13,0,0.5439380514038616,0.02926077064328113,3.1341526242433367e-4,0.02110779062274947,0.21611457185603436,5.795605537380202e-4,0.18868583965791108,0,0,1.7341400374670182,0.3167947258711006,-2.0602952915678934,2.0602952915678934,6.150693189081781,-6.150693189081781,-3.428574747251509,3.428574747251509,-0.08800857521649452,0.4048033010875951,-0.08800857521649452,0.4048033010875951,-3.596255919365265,3.596255919365265,0.8781321323440321,-0.8781321323440321,2.803568549355553,-2.803568549355553,-3.2302014639480947,3.2302014639480947,0.5551114712350562,0.4448885287649438,0.4448885287649438,0.5551114712350562,0.014260940343872264,0.4306275884210715,0.5693724115789285,0.20859251123257158,-0.20859251123257158,-0.1311634632018309,0.1311634632018309,-0.0027669292330863016,0.017027869576958565,-0.0027669292330863016,0.017027869576958565,-0.10793948933051564,0.10793948933051564,0.09889966067665923,-0.09889966067665923,0.08393070167201191,-0.08393070167201191,-0.14284471501791274,0.14284471501791274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0032950,C.Wentz,00-0023564,D.Sproles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAS,NA,00-0028022,NA,M.Foster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,upheld,NA,0,0,0,0
3794,2017091008,WAS,PHI,WAS,home,PHI,WAS,68,2017-09-10,98,98,98,Half2,0,20,1,4,2,0,01:38:00,WAS 32,3,-5,"(1:38) (No Huddle, Shotgun) K.Cousins sacked at WAS 24 for -8 yards (B.Graham). FUMBLES (B.Graham) [B.Graham], RECOVERED by PHI-F.Cox at WAS 20. F.Cox for 20 yards, TOUCHDOWN. The Replay Official reviewed the fumble ruling, and the play was Upheld. The ruling on the field stands.",pass,-12,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA,PHI,2,2,16,28,16,22,-6,16,28,-12,0.6248189295188288,0.047372532224332374,0.0015821077464482256,0.03365390708724059,0.14704056788662526,6.061206744285529e-4,0.14492583486209618,0,0,1.0759556272668285,-8.07595562726683,-12.98581492010634,12.98581492010634,11.763780824348327,-11.763780824348327,-22.622729536517635,22.622729536517635,NA,NA,0,0,-6.957475981916929,6.957475981916929,-1.5051766579271566,1.5051766579271566,3.873577671907976,-3.873577671907976,-13.838881547239513,13.838881547239513,0.12990751700496997,0.8700924829950301,0.12990751700496997,0.8700924829950301,-0.11616142811120515,0.013746088893764816,0.9862539111062352,0.3110054630628244,-0.3110054630628244,-0.7157292730502128,0.7157292730502128,NA,NA,0,0,-0.2837386507501902,0.2837386507501902,-0.04555193927139056,0.04555193927139056,0.0719072295421099,-0.0719072295421099,-0.5465004871778478,0.5465004871778478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00-0029604,K.Cousins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0027865,B.Graham,NA,NA,PHI,00-0027865,B.Graham,NA,NA,NA,PHI,NA,00-0027865,NA,B.Graham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAS,00-0029604,K.Cousins,NA,NA,NA,PHI,20,00-0029653,F.Cox,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,upheld,NA,0,0,0,0
127,2017091007,TEN,OAK,OAK,away,TEN,TEN,8,2017-09-10,782,1682,3482,Half1,0,1,1,1,1,1,13:02:00,TEN 8,8,50,"(13:02) (Shotgun) D.Carr pass short right to A.Cooper for 8 yards, TOUCHDOWN. The Replay Official reviewed the runner was down by contact ruling, and the play was Upheld. The ruling on the field was confirmed.",pass,8,1,0,1,0,0,0,short,right,3,5,NA,NA,NA,NA,NA,NA,3,3,0,NA,OAK,3,3,0,6,0,0,0,6,0,6,2.3178901453227367e-4,0.013079272299778576,7.324511467547931e-6,0.015464870949867,0.33537177475917457,0.0016423361603187109,0.6342026323048613,0,0,5.301311860160851,1.698688139839149,-6.185001524287787,6.185001524287787,-0.8943688644244525,0.8943688644244525,-3.174805445699253,3.174805445699253,-0.3765060707641279,2.075194210603277,-0.3765060707641279,2.075194210603277,0.11784362287078176,-0.11784362287078176,-3.292649068570035,3.292649068570035,0.11784362287078176,-0.11784362287078176,-3.292649068570035,3.292649068570035,0.6528706262489201,0.3471293737510799,0.3471293737510799,0.6528706262489201,0.0571165916868428,0.2900127820642371,0.7099872179357629,-0.032179922398310135,0.032179922398310135,-0.11273578171216792,0.11273578171216792,-0.013003842431413837,0.07012043411825664,-0.013003842431413837,0.07012043411825664,0.0027909344132267533,-0.0027909344132267533,-0.11552671612539467,0.11552671612539467,0.0027909344132267533,-0.0027909344132267533,-0.11552671612539467,0.11552671612539467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0031280,D.Carr,00-0031544,A.Cooper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,upheld,NA,0,0,0,0
1843,2017091005,HOU,JAX,HOU,home,JAX,HOU,53,2017-09-10,78,78,1878,Half1,0,12,0,2,1,0,01:18:00,HOU 47,10,22,"(1:18) (No Huddle, Shotgun) T.Savage sacked at HOU 38 for -9 yards (M.Jackson). FUMBLES (M.Jackson), RECOVERED by JAX-T.Smith at HOU 46. T.Smith for 46 yards, TOUCHDOWN. The Replay Official reviewed the fumble ruling, and the play was REVERSED. (No Huddle, Shotgun) T.Savage pass incomplete short left to D.Hopkins (M.Jackson).",pass,0,1,1,1,0,0,0,short,left,-7,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,2,0,0,12,0,12,-12,0,12,-12,0.5190172399653094,0.035272390591108045,4.8148205104018665e-4,0.025513372680774537,0.22353919489923915,6.361007989515241e-4,0.19554021901357707,0,0,1.7552975747498336,-0.2656096950616944,-9.13943294482977,9.13943294482977,-2.563863770425165,2.563863770425165,-10.04066376717461,10.04066376717461,-0.5817460257913554,0.31613633072966096,0,0,-1.8937441442287333,1.8937441442287333,0.11654983941669705,-0.11654983941669705,-3.742409634013253,3.742409634013253,4.64562748103268,-4.64562748103268,0.17347057212811554,0.8265294278718844,0.17347057212811554,0.8265294278718844,-0.005588360778172735,0.1678822113499428,0.8321177886500571,-0.11417525918358568,0.11417525918358568,-0.32247236084119635,0.32247236084119635,-0.011978864335710937,0.006390503557538202,0,0,-0.07861128778242335,0.07861128778242335,-0.0025815974146575493,0.0025815974146575493,-0.12054500480203104,0.12054500480203104,0.13074754484193402,-0.13074754484193402,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0031064,T.Savage,00-0030564,D.Hopkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0029568,M.Jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,reversed,NA,0,0,0,0
1633,2017091004,DET,ARI,ARI,away,DET,ARI,80,2017-09-10,257,257,2057,Half1,0,10,0,2,1,0,04:17:00,ARI 20,10,0,"(4:17) C.Palmer pass short left intended for L.Fitzgerald INTERCEPTED by Q.Diggs at ARI 29. Q.Diggs ran ob at ARI 14 for 15 yards (J.Gresham). The Replay Official reviewed the pass interception ruling, and the play was REVERSED. C.Palmer pass incomplete short left to L.Fitzgerald.",pass,0,0,0,1,0,0,0,short,left,9,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,6,9,9,6,3,9,6,3,0.42990921940908855,0.09739296001753932,0.003517086286224639,0.14368309151512587,0.12774245704454704,0.0019309960720588354,0.1958241896554158,0,0,0.45286399763472107,-0.4448415012891893,-4.268835844677878,4.268835844677878,2.8490514205188586,-2.8490514205188586,0.5379418031092804,-0.5379418031092804,0.08896277150602527,-0.5338042727952146,0,0,3.3210719127081347,-3.3210719127081347,-1.3404160818579376,1.3404160818579376,5.931959389406415,-5.931959389406415,-3.7419811578390334,3.7419811578390334,0.6043662075106339,0.39563379248936614,0.39563379248936614,0.6043662075106339,-0.01519049560475183,0.410824288094118,0.589175711905882,0.08989630528321488,-0.08989630528321488,-0.019508501657098803,0.019508501657098803,0.0029003400774930688,-0.0180908356822449,0,0,0.0953385536496629,-0.0953385536496629,-0.04395819147817864,0.04395819147817864,0.20440828073785636,-0.20440828073785636,-0.1734040625742048,0.1734040625742048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0021429,C.Palmer,00-0022921,L.Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,reversed,NA,0,0,0,0
3636,2017091001,CHI,ATL,CHI,home,ATL,ATL,42,2017-09-10,56,56,56,Half2,0,18,0,4,2,0,00:56:00,ATL 42,3,40,"(:56) (No Huddle, Shotgun) M.Glennon pass incomplete short left to D.Thompson. The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands.",pass,0,1,1,1,0,0,0,short,left,5,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,2,2,17,23,17,23,-6,17,23,-6,0.47129878480423565,0.028230778878787766,2.6917265598153627e-4,0.020138567002097398,0.25641074349237764,6.520725392058583e-4,0.22299988062731396,0,0,2.105334888983734,-0.34705280153284823,-5.225686660327983,5.225686660327983,11.562249120226308,-11.562249120226308,-18.848130042557603,18.848130042557603,0.5487055135377599,-0.8957583150706081,0,0,-8.249361558232858,8.249361558232858,-7.699564709376772,7.699564709376772,-6.483411287940057,6.483411287940057,-7.9154435759557,7.9154435759557,0.09879731051114105,0.901202689488859,0.09879731051114105,0.901202689488859,-0.026500136842908112,0.07229717366823293,0.927702826331767,0.32089614390478716,-0.32089614390478716,-0.865571664147422,0.865571664147422,0.013920738792949153,-0.040420875635857265,0,0,-0.32936677003595916,0.32936677003595916,-0.462113856933157,0.462113856933157,-0.2783525529008927,0.2783525529008927,-0.45482010407599544,0.45482010407599544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0030520,M.Glennon,00-0029388,D.Thompson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,upheld,NA,0,0,0,0
