play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
36,2018091605,PIT,KC,PIT,home,KC,KC,35,2018-09-16,900,1800,3600,Half1,0,1,0,1,NA,0,15:00,KC 35,0,-2,H.Butker kicks 57 yards from KC 35 to PIT 8. R.Switzer to PIT 21 for 13 yards (A.Watts).,kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.0013736795911316055,0.16263150951886152,0.004440726358228023,0.25417863378642963,0.23308117414857005,0.0036557130265806544,0.34063856357019856,0,0,0.8149984757122131,-0.3914899368595186,-0.3914899368595186,0.3914899368595186,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.Switzer,00-0033562,NA,NA,NA,NA,H.Butker,00-0033303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KC,NA,00-0034680,NA,A.Watts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIT,13,NA,NA,NA,NA,0,NA,NA,0,0,0,0
58,2018091605,PIT,KC,PIT,home,KC,PIT,79,2018-09-16,897,1797,3597,Half1,0,1,0,1,1,0,14:57,PIT 21,10,-2,(14:57) (Shotgun) B.Roethlisberger pass incomplete deep left to J.Washington. Coverage by 20-Nelson.,pass,0,1,0,1,0,0,0,deep,left,39,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0014978764768684072,0.17629736736193372,0.006129593769053492,0.27566768882509957,0.21762078131232232,0.003607107893544959,0.3191795843611775,0,0,0.42350853885269446,-0.7784027107457312,-1.1698926476052498,1.1698926476052498,0,0,-0.7784027107457312,0.7784027107457312,3.1235942406666672,-3.901996951412398,0,0,0,0,0,0,3.1235942406666672,-3.1235942406666672,-3.901996951412398,3.901996951412398,0.48875898159383696,0.5112410184061631,0.48875898159383696,0.5112410184061631,-0.0222468732752773,0.46651210831855966,0.5334878916814404,0,0,-0.0222468732752773,0.0222468732752773,0.09711325954466282,-0.11936013281994012,0,0,0,0,0,0,0.09711325954466282,-0.09711325954466282,-0.11936013281994012,0.11936013281994012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0034676,J.Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
80,2018091605,PIT,KC,PIT,home,KC,PIT,79,2018-09-16,891,1791,3591,Half1,0,1,0,1,2,0,14:51,PIT 21,10,-2,"(14:51) (Shotgun) B.Roethlisberger pass short left to A.Brown pushed ob at PIT 19 for -2 yards (S.Nelson). Penalty on PIT-A.Villanueva, Illegal Block Above the Waist, declined.",pass,-2,1,0,1,0,0,0,short,left,-3,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0015553384481750406,0.20307124325985693,0.0074436945108876705,0.31777890118720303,0.1944524459163981,0.00391734385456379,0.2717810328229155,0,0,-0.35489417189303674,-1.2560124168874247,-2.4259050644926745,2.4259050644926745,0,0,-2.0344151276331557,2.0344151276331557,-1.2462023800386857,-0.009810036848739045,-1.2462023800386857,-0.009810036848739045,-1.2462023800386857,1.2462023800386857,-0.009810036848739045,0.009810036848739045,1.8773918606279816,-1.8773918606279816,-3.9118069882611373,3.9118069882611373,0.46651210831855966,0.5334878916814403,0.46651210831855966,0.5334878916814403,-0.035796624036395996,0.43071548428216366,0.5692845157178363,0,0,-0.0580434973116733,0.0580434973116733,-0.0364285405339666,6.31916497570606e-4,-0.0364285405339666,6.31916497570606e-4,-0.0364285405339666,0.0364285405339666,6.31916497570606e-4,-6.31916497570606e-4,0.06068471901069622,-0.06068471901069622,-0.11872821632236952,0.11872821632236952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0027793,A.Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0032150,S.Nelson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KC,NA,00-0032150,NA,S.Nelson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
119,2018091605,PIT,KC,PIT,home,KC,PIT,81,2018-09-16,869,1769,3569,Half1,0,1,0,1,3,0,14:29,PIT 19,12,-2,(14:29) (Shotgun) B.Roethlisberger pass incomplete short left to V.McDonald. Coverage by 21-Murray.,pass,0,1,0,1,0,0,0,short,left,8,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0016521335440793092,0.25116630069164825,0.009543107223053649,0.38710891785853657,0.14009041799542502,0.004380832009346035,0.20605829067791123,0,0,-1.6109065887804614,-1.2077213255296042,-3.633626390022279,3.633626390022279,0,0,-3.24213645316276,3.24213645316276,-0.6822357689036689,-0.5254855566259353,0,0,-1.2462023800386857,1.2462023800386857,-0.009810036848739045,0.009810036848739045,1.1951560917243127,-1.1951560917243127,-4.437292544887073,4.437292544887073,0.43071548428216366,0.5692845157178363,0.43071548428216366,0.5692845157178363,-0.03695485276239213,0.39376063151977153,0.6062393684802285,0,0,-0.09499835007406543,0.09499835007406543,-0.02053354055620915,-0.01642131220618298,0,0,-0.0364285405339666,0.0364285405339666,6.31916497570606e-4,-6.31916497570606e-4,0.04015117845448707,-0.04015117845448707,-0.1351495285285525,0.1351495285285525,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0022924,B.Roethlisberger,00-0030470,V.McDonald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
145,2018091605,PIT,KC,PIT,home,KC,PIT,81,2018-09-16,862,1762,3562,Half1,0,1,0,1,4,0,14:22,PIT 19,12,-2,"(14:22) (Punt formation) J.Berry punts 39 yards to KC 42, Center-K.Canaday. D.Thomas to PIT 27 for 31 yards (C.Sutton). FUMBLES (C.Sutton), and recovers at PIT 22. D.Thomas to PIT 10 for 12 yards (T.Edmunds).",punt,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0016308837668150694,0.31114343002146166,0.009026320151869424,0.45240740683487907,0.064498686719556,0.004568420758877559,0.15672485174654124,0,0,-2.8186279143100657,-2.2736477870334713,-5.90727417705575,5.90727417705575,0,0,-3.24213645316276,3.24213645316276,NA,NA,0,0,-1.2462023800386857,1.2462023800386857,-0.009810036848739045,0.009810036848739045,1.1951560917243127,-1.1951560917243127,-4.437292544887073,4.437292544887073,0.39376063151977153,0.6062393684802285,0.39376063151977153,0.6062393684802285,-0.035797386479578586,0.35796324504019295,0.6420367549598072,0,0,-0.09499835007406543,0.09499835007406543,NA,NA,0,0,-0.0364285405339666,0.0364285405339666,6.31916497570606e-4,-6.31916497570606e-4,0.04015117845448707,-0.04015117845448707,-0.1351495285285525,0.1351495285285525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00-0031060,D.Thomas,NA,NA,NA,NA,NA,NA,00-0031502,J.Berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIT,00-0033930,C.Sutton,NA,NA,NA,PIT,PIT,00-0033930,00-0034858,C.Sutton,T.Edmunds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KC,00-0031060,D.Thomas,NA,NA,NA,KC,0,00-0031060,D.Thomas,NA,NA,NA,NA,KC,48,NA,NA,NA,NA,0,NA,NA,0,0,0,0
186,2018091605,PIT,KC,KC,away,PIT,PIT,10,2018-09-16,848,1748,3548,Half1,0,2,0,1,1,1,14:08,PIT 10,10,10,(14:08) (Shotgun) K.Hunt up the middle to PIT 5 for 5 yards (J.Bostic).,run,5,1,0,0,0,0,0,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,1.9282682994173643e-4,0.013988467446892546,6.2246510896295e-6,0.01627049984350978,0.3827317993871102,0.0015439238321119093,0.5852662580093441,0,0,5.092275701343537,0.15450801609797438,-6.061782193153724,6.061782193153724,-0.15450801609797438,0.15450801609797438,-3.24213645316276,3.24213645316276,NA,NA,0,0,-1.2462023800386857,1.2462023800386857,-0.009810036848739045,0.009810036848739045,1.1951560917243127,-1.1951560917243127,-4.437292544887073,4.437292544887073,0.642036754959807,0.35796324504019295,0.35796324504019295,0.642036754959807,0.007360964333670061,0.3506022807065229,0.6493977192934771,-0.007360964333670061,0.007360964333670061,-0.09499835007406543,0.09499835007406543,NA,NA,0,0,-0.0364285405339666,0.0364285405339666,6.31916497570606e-4,-6.31916497570606e-4,0.04015117845448707,-0.04015117845448707,-0.1351495285285525,0.1351495285285525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,00-0033923,K.Hunt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIT,NA,00-0030064,NA,J.Bostic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
207,2018091605,PIT,KC,KC,away,PIT,PIT,5,2018-09-16,813,1713,3513,Half1,0,2,0,1,2,1,13:33,PIT 5,5,10,"(13:33) (Shotgun) P.Mahomes pass short left to T.Kelce ran ob at PIT 1 for 4 yards. PENALTY on KC-T.Kelce, Offensive Pass Interference, 10 yards, enforced at PIT 5 - No Play.",no_play,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,2.01411499258736e-4,0.01456689879369843,3.3838637418741626e-5,0.01817672631257104,0.3348937381042392,0.002356749119394506,0.6297706375334193,0,0,5.246783717441511,-0.8470394997813857,-5.214742693372338,5.214742693372338,-0.15450801609797438,0.15450801609797438,-3.24213645316276,3.24213645316276,NA,NA,0,0,-1.2462023800386857,1.2462023800386857,-0.009810036848739045,0.009810036848739045,1.1951560917243127,-1.1951560917243127,-4.437292544887073,4.437292544887073,0.6493977192934771,0.3506022807065229,0.3506022807065229,0.6493977192934771,-0.02858793197175402,0.3791902126782769,0.6208097873217231,-0.007360964333670061,0.007360964333670061,-0.09499835007406543,0.09499835007406543,NA,NA,0,0,-0.0364285405339666,0.0364285405339666,6.31916497570606e-4,-6.31916497570606e-4,0.04015117845448707,-0.04015117845448707,-0.1351495285285525,0.1351495285285525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,KC,00-0030506,T.Kelce,10,0,NA,Offensive Pass Interference,0,0,0,0
237,2018091605,PIT,KC,KC,away,PIT,PIT,15,2018-09-16,790,1690,3490,Half1,0,2,1,1,2,1,13:10,PIT 15,15,10,"(13:10) (Shotgun) P.Mahomes pass short middle to C.Conley for 15 yards, TOUCHDOWN.",pass,15,1,0,1,0,0,0,short,middle,15,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,KC,3,3,0,6,0,0,0,6,0,6,3.155292491575154e-4,0.018557482853441106,1.436127784350188e-5,0.02152457218720926,0.5261180509960052,0.0013053565911637223,0.43216464684517963,0,0,4.399744217660126,2.6002557823398744,-7.814998475712213,7.814998475712213,-0.15450801609797438,0.15450801609797438,-5.8423922355026345,5.8423922355026345,2.6002557823398744,0,2.6002557823398744,0,-3.84645816237856,3.84645816237856,-0.009810036848739045,0.009810036848739045,-1.4050996906155617,1.4050996906155617,-4.437292544887073,4.437292544887073,0.6208097873217231,0.3791902126782769,0.3791902126782769,0.6208097873217231,0.088488213662553,0.2907019990157239,0.7092980009842761,-0.007360964333670061,0.007360964333670061,-0.18348656373661842,0.18348656373661842,0.088488213662553,0,0.088488213662553,0,-0.1249167541965196,0.1249167541965196,6.31916497570606e-4,-6.31916497570606e-4,-0.048337035208065926,0.048337035208065926,-0.1351495285285525,0.1351495285285525,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00-0033873,P.Mahomes,00-0032128,C.Conley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
257,2018091605,PIT,KC,KC,away,PIT,PIT,15,2018-09-16,785,1685,3485,Half1,0,2,1,1,NA,0,13:05,PIT 15,0,10,"H.Butker extra point is GOOD, Center-J.Winchester, Holder-D.Colquitt.",extra_point,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,33,good,NA,3,3,0,NA,NA,3,3,0,7,6,0,6,7,0,7,0,0,0,0,0,0,0,0.9311149499715381,0,0.9311149499715381,0.0688850500284619,-7.883883525740675,7.883883525740675,-0.15450801609797438,0.15450801609797438,-5.8423922355026345,5.8423922355026345,NA,NA,0,0,-3.84645816237856,3.84645816237856,-0.009810036848739045,0.009810036848739045,-1.4050996906155617,1.4050996906155617,-4.437292544887073,4.437292544887073,0.7092980009842761,0.2907019990157239,0.2907019990157239,0.7092980009842761,0.002467223412099817,0.2882347756036241,0.7117652243963759,-0.007360964333670061,0.007360964333670061,-0.18348656373661842,0.18348656373661842,NA,NA,0,0,-0.1249167541965196,0.1249167541965196,6.31916497570606e-4,-6.31916497570606e-4,-0.048337035208065926,0.048337035208065926,-0.1351495285285525,0.1351495285285525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H.Butker,00-0033303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
273,2018091605,PIT,KC,PIT,home,KC,KC,35,2018-09-16,785,1685,3485,Half1,0,3,0,1,NA,0,13:05,KC 35,0,-3,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback.",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0.002180451160732187,0.16181720188082324,0.004411075391859012,0.2518070183238067,0.23361854063680607,0.0036352529627583915,0.3425304596432144,0,0,0.8489164606456012,0,-7.883883525740675,7.883883525740675,-0.15450801609797438,0.15450801609797438,-5.8423922355026345,5.8423922355026345,NA,NA,0,0,-3.84645816237856,3.84645816237856,-0.009810036848739045,0.009810036848739045,-1.4050996906155617,1.4050996906155617,-4.437292544887073,4.437292544887073,0.28823477560362415,0.7117652243963759,0.28823477560362415,0.7117652243963759,0,0.28823477560362415,0.7117652243963759,-0.007360964333670061,0.007360964333670061,-0.18348656373661842,0.18348656373661842,NA,NA,0,0,-0.1249167541965196,0.1249167541965196,6.31916497570606e-4,-6.31916497570606e-4,-0.048337035208065926,0.048337035208065926,-0.1351495285285525,0.1351495285285525,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H.Butker,00-0033303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
